"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","reply.id","reply.author","reply.authorLink","reply.authorThumb","reply.text","reply.likes","reply.time","reply.timestamp","reply.edited"
"UgyKROCoWCYaPI5OQKJ4AaABAg","함지원","/channel/UC1TPVqgmkAsWz8DmeIWSXPg","https://yt3.ggpht.com/-49wtRBelsq8/AAAAAAAAAAI/AAAAAAAAAAA/HmAA_JwxfzE/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","2:06 왜 무릎꿇으려다 말아요?ㅠㅋㅋㅋㅋㅋ",0,"2 minutes ago",1565458959409,false,false,,,,,,,,,,,
"Ugw6bKXEposQ2FUNKGJ4AaABAg","대국민사기꾼호날두","/channel/UCPcziaYX8ScAotuVSlXzP1A","https://yt3.ggpht.com/-zz5kXv_TbNc/AAAAAAAAAAI/AAAAAAAAAAA/hqxh2R4125E/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","1:32 불편",0,"13 minutes ago",1565458299428,false,false,,,,,,,,,,,
"Ugx-9DXwLW0tGP82sJR4AaABAg","이동윤","/channel/UCtrR59BuLJnUv6Q-mnDM0jg","https://yt3.ggpht.com/-pWi_urIAxN4/AAAAAAAAAAI/AAAAAAAAAAA/hKcWHTyZ7Zs/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","여기서 사용하는 저 그물망 같은 장비 이름이나 구매처 아시는 분 있나요?",0,"43 minutes ago",1565456499432,false,false,,,,,,,,,,,
"UgySsOpnhWiLQhCK9X54AaABAg","신재한","/channel/UC9DPVvY9ST0jkDWwyTonV5w","https://yt3.ggpht.com/-QN49MLTCOtA/AAAAAAAAAAI/AAAAAAAAAAA/ppeq0z7vtFw/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","1:52 정말 태세전환 우디르급이네요",0,"1 hour ago",1565455479443,false,false,,,,,,,,,,,
"UgwuYrYCFw9CxWDErQN4AaABAg","이준성","/channel/UCg9zlNxZkKNoc8oO7cPtXHg","https://yt3.ggpht.com/-YvvBHQ3MPr0/AAAAAAAAAAI/AAAAAAAAAAA/DhY6jAnvhHY/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","ㅈ두 시방놈",0,"1 hour ago",1565455479447,false,false,,,,,,,,,,,
"UgwtfUNbmriogMWJzh14AaABAg","양세바리","/channel/UCRL-C6TU7hzxThH0leoa6MA","https://yt3.ggpht.com/-IlENKGY195k/AAAAAAAAAAI/AAAAAAAAAAA/aBTHej09jVM/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","역시 조투소",0,"1 hour ago",1565455479456,false,false,,,,,,,,,,,
"UgxhA1tdf7J0GpdJfed4AaABAg","좌빨킬러","/channel/UCkzVfIO8dMzB8h0Me5LK2SQ","https://yt3.ggpht.com/-EQgg5i5Lfx0/AAAAAAAAAAI/AAAAAAAAAAA/o1kMBlN4ZIk/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","이지훈님 슛팅 오졌다",1,"1 hour ago",1565455479460,false,false,,,,,,,,,,,
"Ugzg5B5M5Et-FJ3YLwJ4AaABAg","Jae Hyeon Cho","/channel/UCsOmZqVZw-gesh8s1Lc9beg","https://yt3.ggpht.com/-gRfxEVKYZ_Q/AAAAAAAAAAI/AAAAAAAAAAA/RvuAso4_0EQ/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","주작투스 콜라보라 우디 나온건가보네",0,"1 hour ago",1565455479462,false,false,,,,,,,,,,,
"UgzkZ3RuJOJ6GgEXdEl4AaABAg","쥬니아Junia","/channel/UCrWvek-jjX-j8lIa93oMCwA","https://yt3.ggpht.com/-2ZoydO04utY/AAAAAAAAAAI/AAAAAAAAAAA/mRrX6S_3jmE/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","우디도 모자이크해주세요\n음원차트를 망가뜨린 놈입니다\n주작한 범죄자..",0,"1 hour ago",1565455479465,false,false,,,,,,,,,,,
"Ugx_NK0jkkfPLfMh9it4AaABAg","이기복","/channel/UCksbRyMp778hUMqst3NLqNA","https://yt3.ggpht.com/-YdPPD0S3B1E/AAAAAAAAAAI/AAAAAAAAAAA/OIzA0dQTVao/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","구너😍",0,"1 hour ago",1565455479472,false,false,,,,,,,,,,,
"Ugwq2YW5ttrd_llExLl4AaABAg","고주용","/channel/UCeArO9AZmblhfzlLgL7v_gw","https://yt3.ggpht.com/-ywRrL7_obbk/AAAAAAAAAAI/AAAAAAAAAAA/nuXcvB6Sj0o/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","저기 가서...슛포러브 보고싶었는데....잼철이형 목소리만 듣고 왔네요ㅠㅠ내 버킷리스트 2순위....",0,"1 hour ago",1565455479478,false,false,,,,,,,,,,,
"UgwfWPX9nAhV_B4nj2p4AaABAg","방성빈","/channel/UCEBUmD_VRPFm78skADR7MHQ","https://yt3.ggpht.com/-svxa6MrQJ78/AAAAAAAAAAI/AAAAAAAAAAA/2QviCMR9xps/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","(오피셜)페드로 포로 맨시티 이적",0,"2 hours ago",1565451879494,false,false,,,,,,,,,,,
"UgwYAN3yesbmaUo8eZx4AaABAg","mic key","/channel/UC6RV37L1iFoN4xx7k58w0Sw","https://yt3.ggpht.com/-Gk2_qkS4cW4/AAAAAAAAAAI/AAAAAAAAAAA/5glWjM1AuR8/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","백지훈 옛날에 존잘이었는데",0,"2 hours ago",1565451879501,false,false,,,,,,,,,,,
"UgydHx4aHltANcagrRR4AaABAg","김민성","/channel/UCvShCM5rab-YLXydVMOFthQ","https://yt3.ggpht.com/-9_H-rlur5vI/AAAAAAAAAAI/AAAAAAAAAAA/8MtAF3khYB0/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","2:07 잘보면 무릎 꿇으려다 말음",0,"2 hours ago",1565451879507,false,false,,,,,,,,,,,
"UgzUbZN9W2Kgtbb-TsV4AaABAg","younguand younguand","/channel/UCFf6z4bgzp_9IUVa1YxzvDQ","https://yt3.ggpht.com/-BTaTK7GCgrI/AAAAAAAAAAI/AAAAAAAAAAA/bmEPs0bnlJo/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","진짜 없어보인더",0,"2 hours ago",1565451879510,false,false,,,,,,,,,,,
"UgxCoXN4nNe6AT9V5y14AaABAg","이지훈","/channel/UCqexZUrjnZg12SzTNSrkkvQ","https://yt3.ggpht.com/-RPkdnx2pfSU/AAAAAAAAAAI/AAAAAAAAAAA/xhSS8Wp065M/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","저 이름이 이지훈인데 그리고 여기 나온데로 진짜 축구배웠어요 😱",0,"3 hours ago",1565448279512,false,false,,,,,,,,,,,
"UgzWyvokBpZNhRnFJy94AaABAg","리오넬메시","/channel/UCrcljrH6a9yHIWvF5pup5ZA","https://yt3.ggpht.com/-1Tz4y7MYOvY/AAAAAAAAAAI/AAAAAAAAAAA/YwLGooXL2kI/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","나는 신이다",0,"3 hours ago",1565448279514,false,true,"EkQSC3ZGdHN4ZlF1S1JVwAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk4aTBIaVWd6V3l2b2tCcFpOaFJuRkp5OTRBYUFCQWciAggAKhhVQ2RURGR5Z3BaS2REZXcyczFzNDE5aXcyC3ZGdHN4ZlF1S1JVQAFI9AM%3D",1,,,,,,,,,
,,,,,,,,,,,,"UgzWyvokBpZNhRnFJy94AaABAg.8ySbmioyXj88ySbonekNt9","리오넬메시","/channel/UCrcljrH6a9yHIWvF5pup5ZA","https://yt3.ggpht.com/-1Tz4y7MYOvY/AAAAAAAAAAI/AAAAAAAAAAA/YwLGooXL2kI/s32-c-k-c0x00ffffff-no-rj-mo/photo.jpg","아임 이즈갓",0,"3 hours ago",1565448279988,false
"UgzRmTKJ_1Z33Ni3tFN4AaABAg","퐁댱","/channel/UCcHgVbPQbuMWaKGNMIBLqyA","https://yt3.ggpht.com/-zG8Flecr9nw/AAAAAAAAAAI/AAAAAAAAAAA/e6Qrr73GhzE/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","7 칠성사이다 만큼 뻥 뚫리는\n2 이쁜 슛을 넣을거 같던 호날두의\n6 육체는 벤치에 있네요 18",0,"3 hours ago",1565448279521,true,false,,,,,,,,,,,
"Ugx9QliMR7Djd1O5_jZ4AaABAg","ᄎᄒᄒ","/channel/UCinBIwiKxVpjRSO79IlhOlQ","https://yt3.ggpht.com/-4ATbVprsXUQ/AAAAAAAAAAI/AAAAAAAAAAA/wED1VAyz7JM/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","썸네일 합성 지리네 ㅋㅋㅋㅋ",0,"3 hours ago",1565448279524,false,false,,,,,,,,,,,
"Ugwu2ACPVXXyFedXb7F4AaABAg","왓슨","/channel/UCn-r4VRJkXET23wc_05GgKA","https://yt3.ggpht.com/-KEkt9zbGdRY/AAAAAAAAAAI/AAAAAAAAAAA/_Sjhya298vY/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","저 때 내 생일이였는데....;;..",0,"3 hours ago",1565448279525,false,false,,,,,,,,,,,
"UgxJvvRE-cHy44BRjMF4AaABAg","김 대욱","/channel/UCqAr3r4MTVtixMIkO0k2hXw","https://yt3.ggpht.com/-znMElWIg3Gg/AAAAAAAAAAI/AAAAAAAAAAA/GDoyVTIhS38/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","3분19초에 골기퍼라고 나만 오타 보이나?",0,"4 hours ago",1565444680887,false,false,,,,,,,,,,,
"UgyjenldNI1QvBUb2kN4AaABAg","룰루랄라","/channel/UCL3pI35KRmOb3XyEjoOpucQ","https://yt3.ggpht.com/-5o7LOBMywFA/AAAAAAAAAAI/AAAAAAAAAAA/gvpuEbHDnV8/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","근데 조밥 탈출하셨으면 꽁병지 행님들이랑 다시 삭발빵 해야되는거 아닌가요?",0,"4 hours ago",1565444680891,false,false,,,,,,,,,,,
"Ugy_H54j_hBIGhlH8jZ4AaABAg","김지홍","/channel/UCWWjpod_XK0yW-m-4kif9gw","https://yt3.ggpht.com/-rS4JBAi5uLo/AAAAAAAAAAI/AAAAAAAAAAA/DqEhVB2OjVk/s48-c-k-c0x00ffffff-no-rj-mo/photo.jpg","몰카인것이라고 의심했을 때부터 잘못되었다....",0,"4 hours ago",1565444680895,false,false,,,,,,,,,,,
